"ZIP CODE","STATE","CITY","SERVICE DAY STANDARD","TERMINAL","SCAC Code","RELATED SURCHARGES","FLAT AMT","RATE","MIN AMT","SUN","MON","TUE","WED","THU","FRI","SAT"
"32615","FL","ALACHUA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32616","FL","ALACHUA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32420","FL","ALFORD",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32701","FL","ALTAMONTE SPG",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32714","FL","ALTAMONTE SPG",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32715","FL","ALTAMONTE SPG",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32716","FL","ALTAMONTE SPG",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32421","FL","ALTHA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32702","FL","ALTOONA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33820","FL","ALTURAS",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33920","FL","ALVA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34216","FL","ANNA MARIA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32617","FL","ANTHONY",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32320","FL","APALACHICOLA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32329","FL","APALACHICOLA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33572","FL","APOLLO BEACH",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32703","FL","APOPKA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32704","FL","APOPKA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32712","FL","APOPKA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33821","FL","ARCADIA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34265","FL","ARCADIA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34266","FL","ARCADIA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34269","FL","ARCADIA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32618","FL","ARCHER",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32422","FL","ARGYLE",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34679","FL","ARIPEKA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32705","FL","ASTATULA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"34705","FL","ASTATULA",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32002","FL","ASTOR",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32102","FL","ASTOR",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32233","FL","ATLANTIC BEACH",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33823","FL","AUBURNDALE",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33825","FL","AVON PARK",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33826","FL","AVON PARK",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"33827","FL","BABSON PARK",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32530","FL","BAGDAD",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
"32531","FL","BAKER",00,"MEMP","SEFL","",0,0,0,"","","","","","",""
